state,year,poverty_absolute,poverty_hardcore,poverty_relative
Perlis,2009,0.23715415019762845,0.11594202898550725,0.7423312883435584
Perlis,2012,0.07509881422924901,0.07246376811594203,0.8773006134969326
Perlis,2014,0.007905138339920948,0.0,0.31901840490797545
Perlis,2016,0.003952569169960474,0.0,0.4355828220858896
Perlis,2019,0.1541501976284585,0.043478260869565216,0.4355828220858896
Perlis,2020,0.391304347826087,0.20289855072463767,0.5766871165644173
Perlis,2022,0.15810276679841898,0.014492753623188406,0.47239263803680986
Pulau Pinang,2002,0.05533596837944663,0.043478260869565216,0.9447852760736198
Pulau Pinang,2004,0.011857707509881422,0.0,0.6687116564417179
Pulau Pinang,2007,0.05533596837944663,0.014492753623188406,0.6319018404907976
Pulau Pinang,2009,0.04743083003952569,0.014492753623188406,0.6441717791411045
Pulau Pinang,2012,0.023715415019762844,0.0,0.7116564417177915
Pulau Pinang,2014,0.011857707509881422,0.0,0.46012269938650313
Pulau Pinang,2016,0.003952569169960474,0.0,0.10429447852760734
Pulau Pinang,2019,0.07509881422924901,0.014492753623188406,0.5092024539877301
Pulau Pinang,2020,0.13043478260869565,0.043478260869565216,0.44785276073619634
Pulau Pinang,2022,0.07905138339920949,0.014492753623188406,0.638036809815951
Sabah,2002,0.6324110671936759,0.4492753623188406,0.993865030674847
Sabah,2004,0.9565217391304347,1.0,1.0
Sabah,2007,0.6482213438735177,0.5507246376811593,0.6687116564417179
Sabah,2009,0.7786561264822134,0.6956521739130435,0.8957055214723928
Sabah,2012,0.3201581027667984,0.2318840579710145,0.8404907975460125
Sabah,2014,0.15810276679841898,0.08695652173913043,0.6993865030674848
Sabah,2016,0.11462450592885375,0.028985507246376812,0.7791411042944787
Sabah,2019,0.7707509881422925,0.21739130434782608,0.6012269938650308
Sabah,2020,1.0,0.391304347826087,0.5092024539877301
Sabah,2022,0.7786561264822134,0.17391304347826086,0.588957055214724
Sarawak,2002,0.2292490118577075,0.08695652173913043,0.8036809815950922
Sarawak,2004,0.2964426877470356,0.15942028985507248,0.6257668711656442
Sarawak,2007,0.16600790513833993,0.10144927536231883,0.5337423312883436
Sarawak,2009,0.20948616600790512,0.14492753623188406,0.7055214723926381
Sarawak,2012,0.09486166007905138,0.043478260869565216,0.9018404907975462
Sarawak,2014,0.03557312252964427,0.014492753623188406,0.7484662576687119
Sarawak,2016,0.023715415019762844,0.014492753623188406,0.7300613496932516
Sarawak,2019,0.3557312252964427,0.057971014492753624,0.6319018404907976
Sarawak,2020,0.5098814229249012,0.13043478260869565,0.4539877300613498
Sarawak,2022,0.42687747035573126,0.057971014492753624,0.6932515337423314
Selangor,2002,0.04347826086956522,0.028985507246376812,0.7607361963190186
Selangor,2004,0.039525691699604744,0.0,0.7914110429447855
Selangor,2007,0.027667984189723317,0.014492753623188406,0.6809815950920246
Selangor,2009,0.027667984189723317,0.014492753623188406,0.6932515337423314
Selangor,2012,0.015810276679841896,0.0,0.6564417177914111
Selangor,2014,0.007905138339920948,0.0,0.3803680981595092
Selangor,2016,0.0,0.0,0.3558282208588957
Selangor,2019,0.04743083003952569,0.028985507246376812,0.638036809815951
Selangor,2020,0.06719367588932806,0.043478260869565216,0.5521472392638038
Selangor,2022,0.05928853754940711,0.0,0.5705521472392638
Terengganu,2002,0.4229249011857707,0.40579710144927533,0.6687116564417179
Terengganu,2004,0.6086956521739131,0.6376811594202899,0.687116564417178
Terengganu,2007,0.25296442687747034,0.11594202898550725,0.5153374233128836
Terengganu,2009,0.15810276679841898,0.07246376811594203,0.441717791411043
Terengganu,2012,0.06719367588932806,0.028985507246376812,0.9570552147239265
Terengganu,2014,0.023715415019762844,0.014492753623188406,0.5398773006134969
Terengganu,2016,0.015810276679841896,0.0,0.32515337423312884
Terengganu,2019,0.2411067193675889,0.043478260869565216,0.20245398773006132
Terengganu,2020,0.4743083003952569,0.15942028985507248,0.3558282208588957
Terengganu,2022,0.2450592885375494,0.028985507246376812,0.12269938650306751
W.P. Kuala Lumpur,2002,0.019762845849802372,0.0,0.8159509202453988
W.P. Kuala Lumpur,2004,0.05928853754940711,0.028985507246376812,0.8466257668711658
W.P. Kuala Lumpur,2007,0.05928853754940711,0.014492753623188406,0.7914110429447855
W.P. Kuala Lumpur,2009,0.027667984189723317,0.014492753623188406,0.7300613496932516
W.P. Kuala Lumpur,2012,0.03162055335968379,0.014492753623188406,0.4539877300613498
W.P. Kuala Lumpur,2014,0.003952569169960474,0.0,0.5153374233128836
W.P. Kuala Lumpur,2016,0.0,0.0,0.5460122699386504
W.P. Kuala Lumpur,2019,0.007905138339920948,0.0,0.34969325153374237
W.P. Kuala Lumpur,2020,0.015810276679841896,0.0,0.25766871165644173
W.P. Kuala Lumpur,2022,0.05533596837944663,0.0,0.4785276073619632
